query_id,candidate_tile_id,raw_rank,global_score,candidate_scale_level_m,match_count,siftgpu_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,siftgpu_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_003,cw_s200_x253933.721_y3364652.517,18,0.6040879487991333,200.000,238,0.6512605042016807,155,0.6512605042016807,1.8649189472198486,1,155069.77373651497,0.009567844915547817,1.0,0.6525894292721431,0.495380795529505,0,1
q_003,cw_s200_x253933.721_y3364952.517,19,0.6037822961807251,200.000,48,0.25,12,0.25,1.512202262878418,0,-1.0,0.007546841137200854,0.27210365853658536,0.09459642081128344,0.05977658894165041,0,0
q_003,cw_s200_x254233.721_y3365102.517,20,0.6026409268379211,200.000,28,0.17857142857142858,5,0.17857142857142858,0.00011793513840530068,0,-1.0,0.0,0.14253048780487804,0.1157723406204033,0.06946340437224198,0,0
q_004,cw_s300_x254433.721_y3364102.517,1,0.9262003898620605,300.000,914,0.3588621444201313,328,0.3588621444201313,2.278282403945923,1,328037.19655348227,1.0,0.5453959443394799,0.5768927076818626,0.8961356246091176,1,1
q_004,cw_s500_x254383.721_y3364127.517,2,0.9056879281997681,500.000,1317,0.26347760060744113,347,0.26347760060744113,2.1468393802642822,1,347026.8356966866,0.7069675481260473,0.3326921146224396,0.5410619098208614,0.7574241651429358,1,1
q_004,cw_s300_x254658.721_y3364327.517,3,0.9007884860038757,300.000,52,0.17307692307692307,9,0.17307692307692307,0.9694919586181641,0,-1.0,0.6369761651748613,0.13110211323273666,0.0830169209952849,0.30460061866711546,0,0
q_004,cw_s300_x254658.721_y3364777.517,4,0.8966107964515686,300.000,22,0.2727272727272727,6,0.2727272727272727,0.0,0,-1.0,0.5772954387542404,0.3533185243621416,0.1478809747836074,0.31964676037186057,0,0
q_004,cw_s500_x254008.721_y3364877.517,5,0.8831354379653931,500.000,19,0.21052631578947367,4,0.21052631578947367,0.0,0,-1.0,0.3847921009250555,0.21461280513455366,0.12508254549146233,0.22896636766489958,0,0
q_004,cw_s300_x254208.721_y3364777.517,6,0.8828353881835938,300.000,23,0.17391304347826086,4,0.17391304347826086,0.000152587890625,0,-1.0,0.3805057151809921,0.13296662926814737,0.11233624574333571,0.21960403351839825,0,0
q_004,cw_s200_x254683.721_y3364352.517,7,0.8769986033439636,200.000,16,0.25,4,0.25,0.0,0,-1.0,0.29712384708655193,0.30263758849052297,0.13881923435337507,0.20214107944664583,0,0
q_004,cw_s500_x254758.721_y3364877.517,8,0.8686605095863342,500.000,21,0.23809523809523808,5,0.23809523809523808,0.0,0,-1.0,0.1780093254860288,0.2760904316053893,0.13525279230284715,0.15235540557611982,0,0
q_004,cw_s300_x254433.721_y3364327.517,9,0.8645472526550293,300.000,103,0.44660194174757284,46,0.44660194174757284,2.1461663246154785,1,46046.980047267614,0.11924905655236305,0.7410522861760788,0.32158527937559495,0.3406507902463022,0,0
q_004,cw_s200_x254533.721_y3364052.517,10,0.8628557324409485,200.000,349,0.3638968481375358,127,0.3638968481375358,2.1424992084503174,1,127037.88615408668,0.09508470593043691,0.5566231381737925,0.3576363738241707,0.3526157066666772,0,0
q_004,cw_s300_x253983.721_y3364777.517,11,0.8622375726699829,300.000,26,0.19230769230769232,5,0.19230769230769232,0.5781132578849792,0,-1.0,0.08625393387011077,0.17398598204718327,0.10028768382083345,0.09467418384054438,0,0
q_004,cw_s700_x254783.721_y3364902.517,12,0.8617432117462158,700.000,24,0.20833333333333334,5,0.20833333333333334,0.0,0,-1.0,0.07919170038555333,0.20972253939255542,0.12489576498632567,0.10661413914601672,0,0
q_004,cw_s300_x254433.721_y3365227.517,13,0.8606455326080322,300.000,34,0.11764705882352941,4,0.11764705882352941,0.0,0,-1.0,0.06351071511287312,0.007495667826390665,0.09276092463990301,0.08106084082909105,0,0
q_004,cw_s300_x254658.721_y3364552.517,14,0.8605893850326538,300.000,32,0.15625,5,0.15625,0.0,0,-1.0,0.06270861432405553,0.09357872802009592,0.10677096718241305,0.08914602603907004,0,0
q_004,cw_s500_x254383.721_y3364877.517,15,0.8593705892562866,500.000,35,0.11428571428571428,4,0.11428571428571428,0.0,0,-1.0,0.04529740739226986,0.0,0.09159118979003705,0.07307367683093018,0,0
q_004,cw_s200_x254383.721_y3364052.517,16,0.8590902090072632,200.000,558,0.5627240143369175,314,0.5627240143369175,1.950307846069336,1,314059.94933373097,0.041292012370403676,1.0,0.7242341984039945,0.5510573239905582,0,1
q_004,cw_s200_x254383.721_y3365252.517,17,0.8587121367454529,200.000,28,0.14285714285714285,4,0.14285714285714285,0.0001015755333355628,0,-1.0,0.03589103009495784,0.06371317652432061,0.10153059219445415,0.07527476735465563,0,0
q_004,cw_s500_x254383.721_y3364502.517,18,0.8565784096717834,500.000,24,0.16666666666666666,4,0.16666666666666666,0.0001563447731314227,0,-1.0,0.005409497145815452,0.1168074902945878,0.10981441106970094,0.06805244550014675,0,0
q_004,cw_s500_x254758.721_y3364502.517,19,0.8564665913581848,500.000,28,0.14285714285714285,4,0.14285714285714285,6.103515625e-05,0,-1.0,0.0038121074644759606,0.06371317652432061,0.10153192676486393,0.062443999044708744,0,0
q_004,cw_s300_x254883.721_y3364777.517,20,0.8561997413635254,300.000,30,0.16666666666666666,5,0.16666666666666666,0.09760260581970215,0,-1.0,0.0,0.1168074902945878,0.1071828942307207,0.06430973653843242,0,0
